Camp,CampLabel,Total25Jan,Female25Jan,Male25Jan,Total22Feb,Female22Feb,Male22Feb
Camp1E,C01E,43924,22325,21599,40090,20367,19723
Camp1W,C01W,40801,20841,19960,38948,19984,18964
Camp2E,C02E,28544,14923,13621,26493,13882,12611
Camp2W,C02W,26383,13608,12775,24332,12568,11764
Camp3,C03,38805,19910,18895,36984,19030,17954
Camp4,C04,35536,18161,17375,32309,16614,15695
Camp4Extension,C04X,8735,4467,4268,8542,4389,4153
Camp5,C05,28355,14547,13808,26322,13513,12809
Camp6,C06,27250,13873,13377,24616,12569,12047
Camp7,C07,41908,21450,20458,39238,20144,19094
Camp8E,C08E,33238,16881,16357,30865,15768,15097
Camp8W,C08W,34646,17657,16989,31963,16389,15574
Camp9,C09,37736,19276,18460,34084,17493,16591
Camp10,C10,32952,16869,16083,30621,15750,14871
Camp11,C11,33595,17001,16594,31817,16234,15583
Camp12,C12,30436,15591,14845,27672,14194,13478
Camp13,C13,46823,23858,22965,43835,22377,21458
Camp14,C14,36508,18612,17896,34170,17463,16707
Camp15,C15,59479,30177,29302,54574,27826,26748
Camp16,C16,23078,11708,11370,21867,11140,10727
Camp17,C17,19766,10163,9603,17959,9239,8720
Camp18,C18,31925,16431,15494,29135,15036,14099
Camp19,C19,27807,14215,13592,25508,13075,12433
Camp20,C20,8950,4654,4296,7560,3920,3640
Camp20Extension,C20X,11978,6196,5782,10066,5206,4860
Camp21,C21,17353,8921,8432,16438,8466,7972
Camp22,C22,24371,12294,12077,22503,11407,11096
Camp24,C24,27852,14589,13263,26580,13982,12598
Camp25,C25,9218,4803,4415,8691,4575,4116
Camp26,C26,43140,22587,20553,41658,21940,19718
Camp27,C27,18523,9595,8928,16171,8389,7782
Kutupalong_RC,KRC,16692,8533,8159,17470,8992,8478
Nayapara_RC,NRC,22260,11896,10364,22886,12188,10698
Other,Other,435,261,174,1052,595,457
Total,total,969002,496873,472129,903019,464704,438315
